municipality_code,total_poi_tourist,total_monuments_historiques,total_musees_galeries,total_plages,total_parcs_naturels,total_attractions_modernes,total_sites_randonnee,total_quartiers_culturels
26309,1,0,0,0,0,0,1,0
07178,1,0,0,0,0,0,1,0
65469,1,0,0,0,0,0,1,0
71519,1,0,0,0,0,0,1,0
09127,1,0,0,0,0,0,1,0
86247,1,0,0,0,0,0,1,0
89257,1,0,0,0,0,0,1,0
88449,1,0,0,0,0,0,1,0
55043,1,0,0,0,0,0,1,0
54415,1,0,0,0,0,0,1,0
77413,1,0,0,0,0,0,1,0
31462,1,0,0,0,0,0,1,0
64126,1,0,0,0,0,0,1,0
38503,1,0,0,0,0,0,1,0
68099,1,0,0,0,0,0,1,0
19221,1,0,0,0,0,0,1,0
43185,1,0,0,0,0,0,1,0
80141,1,0,0,0,0,0,1,0
30265,1,0,0,0,0,0,1,0
01302,1,0,0,0,0,0,1,0
74294,1,0,0,0,0,0,1,0
80488,1,0,0,0,0,0,1,0
42221,1,0,0,0,0,0,1,0
52115,1,0,0,0,0,0,1,0
31506,1,0,0,0,0,0,1,0
09189,1,0,0,0,0,0,1,0
56229,1,0,0,0,0,0,1,0
39487,1,0,0,0,0,1,0,0
88351,1,0,0,0,0,1,0,0
34336,1,0,0,0,0,1,0,0
88321,1,0,0,0,0,1,0,0
74112,1,0,0,0,0,0,0,0
76029,1,0,0,0,0,0,0,0
63104,1,0,0,0,0,0,0,0
62032,1,0,0,0,0,0,0,0
25087,1,0,0,0,0,0,0,0
77079,1,0,0,0,0,0,0,0
79111,1,0,0,0,0,0,0,0
49107,1,0,0,0,0,0,0,0
88315,1,0,0,0,0,0,0,0
2B156,1,0,0,0,0,0,0,0
55121,1,0,0,0,0,0,0,0
57339,1,0,0,0,0,0,0,0
39209,1,0,0,0,0,0,0,0
02397,1,0,0,0,0,0,0,0
55271,1,0,0,0,0,0,0,0
34314,1,0,0,0,0,0,0,0
57373,1,0,0,0,0,0,0,0
88295,1,0,0,0,0,0,0,0
16261,1,0,0,0,0,0,0,0
39535,1,0,0,0,0,0,0,0
55584,1,0,1,0,0,0,0,0
08497,1,0,1,0,0,0,0,0
55438,1,0,1,0,0,0,0,0
12237,1,0,1,0,0,0,0,0
24143,1,0,1,0,0,0,0,0
06147,1,0,1,0,0,0,0,0
10012,1,0,1,0,0,0,0,0
36060,1,0,1,0,0,0,0,0
31169,1,0,1,0,0,0,0,0
69255,1,0,1,0,0,0,0,0
42179,1,0,0,0,0,0,1,0
59181,1,0,0,0,1,0,0,0
73288,1,0,0,0,1,0,0,0
76192,1,0,0,0,1,0,0,0
14009,1,0,0,0,1,0,0,0
2B112,1,0,0,0,0,0,0,0
78261,1,0,0,0,0,1,0,0
38472,1,0,0,0,1,0,0,0
88492,1,0,0,0,1,0,0,0
45075,1,0,0,0,1,0,0,0
66054,1,0,0,0,1,0,0,0
52542,1,0,0,0,1,0,0,0
85177,1,0,0,0,1,0,0,0
43155,1,0,0,1,0,0,0,0
17486,1,0,0,1,0,0,0,0
46088,1,0,0,1,0,0,0,0
63228,1,0,0,1,0,0,0,0
44039,1,0,0,0,0,0,1,0
12297,1,0,0,0,0,0,1,0
68119,1,0,0,0,0,0,1,0
65362,1,0,0,0,0,0,1,0
26105,1,0,0,0,0,0,1,0
33422,1,0,0,0,0,0,1,0
68241,1,0,0,0,0,0,1,0
04025,1,0,0,0,0,0,1,0
21533,1,0,0,0,0,0,1,0
76533,1,0,0,0,0,0,1,0
82145,1,0,0,0,0,0,1,0
17113,1,0,0,0,0,0,1,0
35097,1,0,0,0,0,0,1,0
63306,1,0,0,0,0,0,1,0
38203,1,0,0,0,0,0,1,0
73124,1,0,0,0,0,0,1,0
16105,1,0,0,0,0,0,1,0
81070,1,0,0,0,0,0,1,0
47152,1,0,0,0,0,0,1,0
18227,1,0,0,0,0,0,1,0
29015,1,0,0,0,0,0,1,0
21336,1,0,0,0,0,1,0,0
23204,1,0,0,0,0,0,0,0
57051,1,0,0,0,0,0,0,0
55372,1,0,0,0,0,0,0,0
60255,1,0,0,0,0,0,0,0
88202,1,0,0,0,0,0,0,0
45034,1,0,0,0,0,0,0,0
27358,1,0,0,0,0,0,0,0
39217,1,0,0,0,0,0,0,0
57202,1,0,0,0,0,0,0,0
61399,1,0,0,0,0,0,0,0
24482,1,0,0,0,0,0,0,0
76380,1,0,0,0,1,0,0,0
39325,1,0,1,0,0,0,0,0
62644,1,0,1,0,0,0,0,0
38114,1,0,1,0,0,0,0,0
62423,1,0,1,0,0,0,0,0
67151,1,0,1,0,0,0,0,0
80464,1,0,1,0,0,0,0,0
69089,1,0,1,0,0,0,0,0
63223,1,0,1,0,0,0,0,0
43167,1,0,1,0,0,0,0,0
02065,1,0,1,0,0,0,0,0
56043,1,0,1,0,0,0,0,0
24025,1,0,1,0,0,0,0,0
71330,1,0,1,0,0,0,0,0
66185,1,0,1,0,0,0,0,0
89368,1,0,1,0,0,0,0,0
77307,1,0,1,0,0,0,0,0
63386,1,0,1,0,0,0,0,0
51191,1,0,0,0,1,0,0,0
40224,1,0,0,0,0,0,0,0
71090,1,0,0,0,0,0,0,0
76748,1,0,0,0,0,1,0,0
76409,1,0,0,0,0,1,0,0
64527,1,0,0,0,0,1,0,0
24463,1,0,0,0,0,1,0,0
31541,1,0,0,0,0,1,0,0
71376,1,0,0,0,1,0,0,0
13044,1,0,0,0,1,0,0,0
28050,1,0,0,0,1,0,0,0
66155,1,0,0,0,1,0,0,0
67210,1,0,0,0,1,0,0,0
