municipality_code,jour_soleil_an,ensoleillement_rate,code,nom,relief
92049,107,"0,29",92,Hauts-de-Seine,Plaine
92033,107,"0,29",92,Hauts-de-Seine,Plaine
92072,107,"0,29",92,Hauts-de-Seine,Plaine
92026,107,"0,29",92,Hauts-de-Seine,Plaine
92047,107,"0,29",92,Hauts-de-Seine,Plaine
92014,107,"0,29",92,Hauts-de-Seine,Plaine
92025,107,"0,29",92,Hauts-de-Seine,Plaine
92002,107,"0,29",92,Hauts-de-Seine,Plaine
92077,107,"0,29",92,Hauts-de-Seine,Plaine
92073,107,"0,29",92,Hauts-de-Seine,Plaine
92004,107,"0,29",92,Hauts-de-Seine,Plaine
92024,107,"0,29",92,Hauts-de-Seine,Plaine
92032,107,"0,29",92,Hauts-de-Seine,Plaine
92046,107,"0,29",92,Hauts-de-Seine,Plaine
92060,107,"0,29",92,Hauts-de-Seine,Plaine
92035,107,"0,29",92,Hauts-de-Seine,Plaine
92020,107,"0,29",92,Hauts-de-Seine,Plaine
92023,107,"0,29",92,Hauts-de-Seine,Plaine
92040,107,"0,29",92,Hauts-de-Seine,Plaine
92078,107,"0,29",92,Hauts-de-Seine,Plaine
92071,107,"0,29",92,Hauts-de-Seine,Plaine
92063,107,"0,29",92,Hauts-de-Seine,Plaine
92048,107,"0,29",92,Hauts-de-Seine,Plaine
92036,107,"0,29",92,Hauts-de-Seine,Plaine
92076,107,"0,29",92,Hauts-de-Seine,Plaine
92064,107,"0,29",92,Hauts-de-Seine,Plaine
92044,107,"0,29",92,Hauts-de-Seine,Plaine
92019,107,"0,29",92,Hauts-de-Seine,Plaine
92012,107,"0,29",92,Hauts-de-Seine,Plaine
92062,107,"0,29",92,Hauts-de-Seine,Plaine
92007,107,"0,29",92,Hauts-de-Seine,Plaine
92009,107,"0,29",92,Hauts-de-Seine,Plaine
92050,107,"0,29",92,Hauts-de-Seine,Plaine
92075,107,"0,29",92,Hauts-de-Seine,Plaine
92022,107,"0,29",92,Hauts-de-Seine,Plaine
92051,107,"0,29",92,Hauts-de-Seine,Plaine
32443,111,"0,3",32,Gers,Montagne
32202,111,"0,3",32,Gers,Montagne
32183,111,"0,3",32,Gers,Montagne
32030,111,"0,3",32,Gers,Montagne
32055,111,"0,3",32,Gers,Montagne
32129,111,"0,3",32,Gers,Montagne
32079,111,"0,3",32,Gers,Montagne
32111,111,"0,3",32,Gers,Montagne
32134,111,"0,3",32,Gers,Montagne
32447,111,"0,3",32,Gers,Montagne
32192,111,"0,3",32,Gers,Montagne
32326,111,"0,3",32,Gers,Montagne
32115,111,"0,3",32,Gers,Montagne
32236,111,"0,3",32,Gers,Montagne
32165,111,"0,3",32,Gers,Montagne
32087,111,"0,3",32,Gers,Montagne
32036,111,"0,3",32,Gers,Montagne
32419,111,"0,3",32,Gers,Montagne
32279,111,"0,3",32,Gers,Montagne
32010,111,"0,3",32,Gers,Montagne
32159,111,"0,3",32,Gers,Montagne
32099,111,"0,3",32,Gers,Montagne
32252,111,"0,3",32,Gers,Montagne
32023,111,"0,3",32,Gers,Montagne
32095,111,"0,3",32,Gers,Montagne
32315,111,"0,3",32,Gers,Montagne
32263,111,"0,3",32,Gers,Montagne
32223,111,"0,3",32,Gers,Montagne
